potential_target,potential_target_type,file,line,matched_mapping_key,matched_mapping_value,replaced
"      icon.shouldNotHave(cssClass(""light""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","178","","",""
"  private void iconShouldHaveTitle(SelenideElement icon, String title) {","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","182","","",""
"    icon.shouldHave(attribute(""title"", title));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","183","","",""
"  private final String icon;","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/starts/StartableModel.java","22","","",""
"      String applicationName, String projectName, String icon, boolean embedInFrame, WebLink viewerLink, boolean viewerAllowed) {","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/starts/StartableModel.java","28","","",""
"    this.icon = icon;","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/starts/StartableModel.java","35","","",""
"    return icon;","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/starts/StartableModel.java","117","","",""
"      case CANCELED -> ""si si-mood-warning"";","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/intermediateEvents/IntermediateEventDetailsBean.java","32","","",""
"      case PENDING, WAITING -> ""si si-hourglass"";","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/intermediateEvents/IntermediateEventDetailsBean.java","33","","",""
"    // open in fullscreen link icon shouldn't be visible","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestStartsIT.java","129","","",""
"","","","","si si-add","ti ti-plus",""
"","","","","si si-add-circle","ti ti-circle-plus",""
"","","","","si si-add-small","ti ti-plus",""
"","","","","si si-advertising-megaphone","ti ti-speakerphone",""
"","","","","si si-advertising-megaphone-2","ti ti-speakerphone",""
"","","","","si si-alarm-bell","ti ti-bell",""
"","","","","si si-alert-circle","ti ti-alert-circle",""
"","","","","si si-analytics-bars","ti ti-chart-bar",""
"","","","","si si-analytics-board-graph-line","ti ti-chart-line",""
"","","","","si si-analytics-pie-2","ti ti-chart-pie",""
"","","","","si si-arrow-down-1","ti ti-chevron-down",""
"","","","","si si-arrow-left","ti ti-arrow-left",""
"","","","","si si-arrow-left-1","ti ti-chevron-left",""
"","","","","si si-arrow-right","ti ti-arrow-right",""
"","","","","si si-arrow-right-1","ti ti-chevron-right",""
"","","","","si si-bin-1","ti ti-trash",""
"","","","","si si-book-open-1","ti ti-book",""
"","","","","si si-bulb","ti ti-bulb",""
"","","","","si si-business-contract-handshake-sign","ti ti-contract",""
"","","","","si si-button-refresh-arrows","ti ti-refresh",""
"","","","","si si-calendar-date","ti ti-calendar-event",""
"","","","","si si-chat-translate","ti ti-message-2",""
"","","","","si si-check-1","ti ti-check",""
"","","","","si si-check-circle","ti ti-circle-check",""
"","","","","si si-check-circle-1","ti ti-circle-check",""
"","","","","si si-check-double-1","ti ti-checks",""
"","","","","si si-checklist-pen","ti ti-clipboard-check",""
"","","","","si si-close","ti ti-x",""
"","","","","si si-cog","ti ti-settings",""
"","","","","si si-cog-double-2","ti ti-settings",""
"","","","","si si-common-file-add","ti ti-file-plus",""
"","","","","si si-common-file-empty","ti ti-file",""
"","","","","si si-common-file-text","ti ti-file-text",""
"","","","","si si-controls-play","ti ti-player-play",""
"","","","","si si-copy-paste","ti ti-copy",""
"","","","","si si-delete","ti ti-trash",""
"","","","","si si-delete-1","ti ti-trash",""
"","","","","si si-download-bottom","ti ti-download",""
"","","","","si si-email-action-unread","ti ti-mail-opened",""
"","","","","si si-expand-1","ti ti-arrows-maximize",""
"","","","","si si-expand-6","ti ti-queue-pop-out",""
"","","","","si si-file-code-upload-1","ti ti-file-upload",""
"","","","","si si-file-csv","ti ti-file-type-xls",""
"","","","","si si-file-edit","ti ti-file-pencil",""
"","","","","si si-file-xml","ti ti-file-code",""
"","","","","si si-file-zip","ti ti-file-zip",""
"","","","","si si-filter-1","ti ti-filter",""
"","","","","si si-floppy-disk","ti ti-device-floppy",""
"","","","","si si-folder-search","ti ti-folder-search",""
"","","","","si si-graphic-tablet-drawing-pen","ti ti-pencil",""
"","","","","si si-help-wheel","ti ti-help-circle",""
"","","","","si si-hierarchy-6","ti ti-sitemap",""
"","","","","si si-house-1","ti ti-home",""
"","","","","si si-house-chimney-2","ti ti-home",""
"","","","","si si-hyperlink-3","ti ti-link",""
"","","","","si si-image-file-landscape","ti ti-photo",""
"","","","","si si-information-circle","ti ti-info-circle",""
"","","","","si si-layers-grid-settings","ti ti-layout-grid",""
"","","","","si si-layout-bullets","ti ti-folder-open",""
"","","","","si si-layout-dashboard","ti ti-layout-dashboard",""
"","","","","si si-list-bullets","ti ti-folder-open",""
"","","","","si si-lock-1","ti ti-lock",""
"","","","","si si-login-3","ti ti-login-2",""
"","","","","si si-messages-bubble","ti ti-message",""
"","","","","si si-messages-bubble-add","ti ti-message-plus",""
"","","","","si si-messages-bubble-square-sync","ti ti-message-2-share",""
"","","","","si si-module","ti ti-layout-grid",""
"","","","","si si-monetization-approve","ti ti-rosette-discount-check",""
"","","","","si si-move-back","ti ti-corner-up-left",""
"","","","","si si-move-expand-vertical","ti ti-arrows-vertical",""
"","","","","si si-move-shrink-vertical","ti ti-arrows-minimize",""
"","","","","si si-multiple-actions-add","ti ti-user-plus",""
"","","","","si si-multiple-neutral-1","ti ti-users",""
"","","","","si si-navigation-down-circle","ti ti-circle-arrow-down",""
"","","","","si si-navigation-menu","ti ti-menu-2",""
"","","","","si si-navigation-menu-horizontal","ti ti-dots",""
"","","","","si si-navigation-menu-horizontal-filled","ti ti-dots",""
"","","","","si si-navigation-right-circle","ti ti-circle-arrow-right",""
"","","","","si si-navigation-right-circle-1","ti ti-circle-arrow-right",""
"","","","","si si-navigation-up-circle","ti ti-circle-arrow-up",""
"","","","","si si-network-arrow","ti ti-network",""
"","","","","si si-network-share","ti ti-world",""
